wp,b_k_percent,b_bb_percent,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,bacon,xbacon,xbadiff,xslgdiff,wobadiff,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent,flyballs_percent,linedrives_percent,popups_percent,hp_to_1b
854.7,0.09021898191103016,0.034621073583834,0.003353697148242536,0.0053588709120454625,0.0010785671173680234,0.001823560873823155,0.0013715111795209987,0.001404721083764661,0.0013844580103723535,0.0007459196083310154,0.001584394213428382,0.0016380734950149558,0.0014096874739901902,0.0014230519445464274,5.160114666950818e-06,-7.647335222654171e-05,-3.3209904243662024e-05,0.3775289334910315,0.054810431052327524,0.14091465550953125,0.035313198179093945,0.03784167952491822,0.025844601616895314,0.10718194686421521,0.10408612965422837,0.13236511788825758,0.012398867431334485,0.1758781433333321,0.2910312219865772,0.0764909635393982,0.11622434965528686,0.1824298033061291,0.23615764179814994,0.2141897933213348,0.34423877197878067,0.029676068523915983,0.34282886058952694,0.20596581339772257,0.18039393553991911,0.10699476376756908,0.20212050903060033,0.15793020281110207,0.15465550498053007,0.10754046287593653,0.2513783447294611,0.1172515923751874,0.09667730192568776,0.026710826619250835,0.018673646786057593
623.0,0.10372886489639814,0.03205125152263306,0.008761582944187767,0.019356192742683933,0.0009927648072320387,0.0016751510738276135,0.001288598850618379,0.0012886361137075457,0.0012682769888841088,0.0006817623080599596,0.0015887308345657945,0.0015870872944840552,0.0013737553161752808,0.0013670725379075622,8.198672448271259e-06,1.389833942734698e-05,-3.726308916630777e-08,0.3730851049350263,0.05804899528544738,0.14535086338030684,0.11864884723224936,0.03877216499437083,0.022825069211393073,0.10065259867779865,0.10854769587411717,0.12842882247503537,0.020705909402188524,0.15619244024849033,0.28770474371045307,0.08276282741856143,0.11655196599337612,0.1853813315409721,0.23338546651787898,0.20895467529609196,0.33451622198453285,0.03128307690362812,0.33577951999043903,0.21219838756643453,0.18232234905309236,0.11143717094787453,0.20248984645841198,0.1568105318296403,0.1592679136354054,0.10508365567868282,0.25786168699518147,0.11637159678517756,0.09696791342459869,0.030270075860483723,0.018581326686779944
723.0,0.10170555917239865,0.0350087313829981,0.009635978469796365,0.02817563753617882,0.0010504468819494289,0.0017625132640872638,0.0013304367856578334,0.0013437168375759715,0.0013422588764648688,0.0007118449511841013,0.0016457718796927933,0.0016705489252873914,0.0014408197014295367,0.0014499746688387874,-2.1330352546962928e-06,6.417351011213037e-06,-1.3280051918138329e-05,0.3765819006424936,0.05230298646727425,0.14288524779749226,0.09808727786885495,0.03902815932444874,0.02399167063884491,0.10348637822465735,0.09806538357230596,0.13502436600699294,0.022856567468898248,0.15974136815196435,0.28343867007957646,0.07762780414030433,0.12132890298501427,0.1756884605349463,0.24709861618710563,0.21600415377576987,0.32502365198965066,0.03261976507091483,0.3449342755115302,0.20877837245107395,0.17938445000465064,0.1074599442494732,0.20079043739423733,0.1642987820847531,0.15264662087479644,0.10801949280559432,0.26123271153653715,0.1071305346059408,0.10245195564565943,0.02699276499194347,0.01873442788597297
793.8000000000001,0.09173996340080266,0.043267087876567925,0.0027752600954346544,0.005915914936976693,0.0010810964802641346,0.0018163925076808936,0.0014150694531750105,0.0014280757661614518,0.0014432157234689131,0.0007356896967563152,0.0015966836918027414,0.0016354742590457484,0.0013855029283024879,0.0014255441025634223,-8.725974532040621e-06,4.687927593808664e-05,-1.3006312986441412e-05,0.38695912604015475,0.05755880738056566,0.13608692325024152,0.03334879548847928,0.02925028441964146,0.02698831694373861,0.10115736049110242,0.11465086647235369,0.14345593479361313,0.013506120799866862,0.16585876517057674,0.26991949141512406,0.06806325384053491,0.10651952839022827,0.1797259307790973,0.25264262733355264,0.21524860751004285,0.3120910475439879,0.03233178011181372,0.3633278733262778,0.21757016912906085,0.1839373227248576,0.09834599591480239,0.18856152373497018,0.17095058445695765,0.1539144894134463,0.10796958004040563,0.26042597041938526,0.10465340522260844,0.10302609362119448,0.03544416035990698,0.01924325364010986
769.0,0.08837169818917885,0.040824155830629046,0.007127638425236797,0.02250782248905203,0.001091715378001049,0.001850869173057981,0.0013727575506356574,0.0014053977273097392,0.0014266429140384817,0.0007585902247323126,0.0015789557974121183,0.001630163271174711,0.0013915035225959104,0.0014324431470624029,-2.0688316711813804e-05,3.7633394860635007e-06,-3.264017667408156e-05,0.38006743449926056,0.0585492986903301,0.1447642422818579,0.09577866499723882,0.03275564530994475,0.02303617897436543,0.10872298942416954,0.11050891921509294,0.13734253479687927,0.0118278298221336,0.15349868893909685,0.26826825936660154,0.06707558912198974,0.11029763617925813,0.16512275495958148,0.2646165916753767,0.21881842520690642,0.32023204897170504,0.031021680127552968,0.36188049154397,0.21141577637491363,0.18437608910771824,0.09634662774578835,0.18782235514430312,0.1759807524674728,0.152888737595688,0.10134736516652762,0.25079594145041534,0.10469416885784287,0.11075578832954963,0.03324342770980011,0.01917091331190114
721.0,0.09367009713324873,0.03742893387622108,0.0054829515667668026,0.02947845178147318,0.0010561330097704474,0.001808056490073533,0.001353576050964785,0.0013826773727934737,0.0013711393003968105,0.0007515236901814645,0.001603885131686788,0.001647497863780229,0.0013779964293451814,0.0014090020146479076,-1.4278334242430508e-05,-2.9134502790199584e-07,-2.910132182868893e-05,0.37886127061256303,0.057886858018801855,0.14562881219681464,0.10941219735336354,0.03715369375402812,0.025297245985207398,0.10321650254750425,0.10955867915905868,0.13445961497714498,0.013249157931366695,0.1668375972196384,0.27718905857128817,0.07353969335953446,0.1098378038816237,0.17135215028532866,0.2529160522175052,0.21576834722238394,0.3169411453283301,0.03255448877189738,0.35104753194885213,0.2101618977354564,0.18448808830168573,0.10127832974938619,0.19256805707550118,0.17761355958081473,0.15342342470163498,0.09401590749553351,0.2553424707248823,0.10619906634147658,0.10816515970476853,0.03362558639530932,0.019010083701774594
710.0,0.08015413661508022,0.03578612514314066,0.011035991573651573,0.03279622354655778,0.0010720299864410256,0.0017717301416127667,0.001335255220036033,0.0013603507739067538,0.0013774654977129134,0.0006995995634594688,0.0014910543242797165,0.001525810007874417,0.001335094772098277,0.0013552239219267383,-7.692356311186292e-06,-1.6460462008158285e-05,-2.5095553870720897e-05,0.37239043569758756,0.04964733055964704,0.1395864636357588,0.08276120776950367,0.02543291020824164,0.023308845540017175,0.10786233159454046,0.10563526433829523,0.14027771990645496,0.021093583261575795,0.1397359379321763,0.2843315363044986,0.06499754271871969,0.11778350096854857,0.16100426811870738,0.2648323732492585,0.22010796783474837,0.3284825689590579,0.03164673461632139,0.36045502120238915,0.2078640443773668,0.1822284543389439,0.09419474444074621,0.19851915744093723,0.1530373213731123,0.17516608480097895,0.09848518880326664,0.2606722824444592,0.09936216564025684,0.10031911704518566,0.030330396457547766,0.019704766956989396
717.0,0.0686992107472204,0.032800241770511676,0.009693711575840926,0.025960056143139325,0.001119525208165142,0.0017785419471111922,0.0013447474320057514,0.0013734073575931932,0.0013874503670498013,0.0006584479959565533,0.001477871650348778,0.0015176128433658125,0.001355251104414883,0.0013711847601517498,-1.1138805630865068e-06,-3.028869928498809e-05,-2.865992558744171e-05,0.3753849789187744,0.047575092887144774,0.1383084102776351,0.09348924969757061,0.024286063320747134,0.02323171266589975,0.10774876507819561,0.09882695060249622,0.14736123481161545,0.010618675044750973,0.14431694759585267,0.2828451833091168,0.054880157674025154,0.12500513554199627,0.15259322771343484,0.2689416671071313,0.21544168859438748,0.32053654102237367,0.031243021989931806,0.3670071955127944,0.2090869630985166,0.18243991558557435,0.08506344402360592,0.20269129695943294,0.15008714398033962,0.16545766301398754,0.10801181793170331,0.2649801619495528,0.09203766415317219,0.10681015472821463,0.027802458854639236,0.019227569732298076
661.0,0.0828701309755363,0.032305995986116075,0.011385082484267343,0.021395318111296607,0.0010809028717687508,0.0017489771564112514,0.0013357583357681267,0.00136251170924995,0.001356599318139155,0.0006686325462732809,0.0015277791369477794,0.0015716925778567522,0.0013559075762309728,0.0013815295080672908,-7.6036647432858595e-06,-3.824602536611464e-06,-2.6753373481823528e-05,0.379391856154921,0.048252021031391146,0.13605165716918452,0.10192946571449196,0.02633039803808044,0.020282877775868336,0.10409640024139412,0.10156318012973951,0.1527561642613425,0.013188165478534346,0.13758055597010627,0.2768918800312518,0.05983732393176111,0.12610659132465138,0.15993991575548447,0.2679124262170051,0.22209045289461804,0.3070968964510643,0.03175747056380509,0.36757594644588687,0.20873677187210551,0.17887739085295332,0.09144576769173766,0.1991149638523153,0.15792923167095266,0.1660414562711392,0.10528869318983274,0.2625268110950852,0.08294016886226711,0.11918124194399715,0.02838191138393518,0.01941559213592656
873.95,0.08431548781142889,0.03380395976438495,0.0019441159953348009,0.011155522735135405,0.0010860665142509627,0.001710030028637266,0.0014454296698753891,0.0013613183656751105,0.001369351987856891,0.0006240998082325374,0.001653964397777095,0.0015390455411639714,0.0014800148762527145,0.0013918944757075587,8.593455584140614e-05,0.00017839321522800328,8.411130420027866e-05,0.38221089025901783,0.0419885338098242,0.14415697252867682,0.026739309681866746,0.029644683030450418,0.02907739204027733,0.10433191065916367,0.0974120406434938,0.14855000606681232,0.01892041459745476,0.16660071163037524,0.27908633735092525,0.06039103179159056,0.11197568100907528,0.18089073567068734,0.24643521779911776,0.21336415890599,0.3166347776719332,0.03250608232675866,0.3682860308633321,0.2168615104319891,0.18450637996888936,0.09400315153844643,0.19619884902654583,0.1712449887303417,0.1583297324295878,0.10062471804160462,0.2563239792388803,0.09557695972514606,0.10588206029142269,0.02537714269413018,0.019086643206699377
